Date, Review 1-3, Review 4, Review 5, Review 6, Review 7, Review 8, 
03/27/20, N/A, N/A, N/A, N/A, N/A, Lists 1 (Review 3), 
03/28/20, N/A, N/A, N/A, N/A, Lists 2 (Review 3), Lists 1 (Review 4), 
03/29/20, N/A, N/A, N/A, Lists 3 (Review 3), Lists 2 (Review 4), Lists 1 (Review 5), 
03/30/20, N/A, N/A, N/A, Lists 4 (Review 3), Lists 3 (Review 4), Lists 2 (Review 5), 
03/31/20, N/A, N/A, Lists 5 (Review 3), Lists 4 (Review 4), Lists 3 (Review 5), Lists 1 (Review 6), 
04/01/20, N/A, N/A, Lists 6 (Review 3), Lists 5 (Review 4), Lists 4 (Review 5), Lists 2 (Review 6), 
04/02/20, N/A, N/A, Lists 7 (Review 3), Lists 6 (Review 4), Lists 5 (Review 5), Lists 3 (Review 6), 
04/03/20, N/A, Lists 8 (Review 3), Lists 7 (Review 4), Lists 6 (Review 5), Lists 4 (Review 6), Lists 1 (Review 7), 
04/04/20, N/A, Lists 9 (Review 3), Lists 8 (Review 4), Lists 7 (Review 5), Lists 5 (Review 6), Lists 2 (Review 7), 
04/05/20, N/A, Lists 10 (Review 3), Lists 9 (Review 4), Lists 8 (Review 5), Lists 6 (Review 6), Lists 3 (Review 7), 
04/06/20, N/A, Lists 11 (Review 3), Lists 10 (Review 4), Lists 9 (Review 5), Lists 7 (Review 6), Lists 4 (Review 7), 
04/07/20, N/A, Lists 12 (Review 3), Lists 11 (Review 4), Lists 10 (Review 5), Lists 8 (Review 6), Lists 5 (Review 7), 
04/08/20, N/A, Lists 13 (Review 3), Lists 12 (Review 4), Lists 11 (Review 5), Lists 9 (Review 6), Lists 6 (Review 7), 
04/09/20, N/A, Lists 14 (Review 3), Lists 13 (Review 4), Lists 12 (Review 5), Lists 10 (Review 6), Lists 7 (Review 7), 
04/10/20, N/A, Lists 15 (Review 3), Lists 14 (Review 4), Lists 13 (Review 5), Lists 11 (Review 6), Lists 8 (Review 7), 
04/11/20, Lists 16 (Review 3), Lists 15 (Review 4), Lists 14 (Review 5), Lists 12 (Review 6), Lists 9 (Review 7), Lists 1 (Review 8), 
04/12/20, Lists 17 (Review 3), Lists 16 (Review 4), Lists 15 (Review 5), Lists 13 (Review 6), Lists 10 (Review 7), Lists 2 (Review 8), 
04/13/20, Lists 18 (Review 3), Lists 17 (Review 4), Lists 16 (Review 5), Lists 14 (Review 6), Lists 11 (Review 7), Lists 3 (Review 8), 
04/14/20, Lists 19 (Review 3), Lists 18 (Review 4), Lists 17 (Review 5), Lists 15 (Review 6), Lists 12 (Review 7), Lists 4 (Review 8), 
04/15/20, Lists 20 (Review 3), Lists 19 (Review 4), Lists 18 (Review 5), Lists 16 (Review 6), Lists 13 (Review 7), Lists 5 (Review 8), 
04/16/20, Lists 21 (Review 3), Lists 20 (Review 4), Lists 19 (Review 5), Lists 17 (Review 6), Lists 14 (Review 7), Lists 6 (Review 8), 
04/17/20, Lists 22 (Review 3), Lists 21 (Review 4), Lists 20 (Review 5), Lists 18 (Review 6), Lists 15 (Review 7), Lists 7 (Review 8), 
04/18/20, Lists 23 (Review 3), Lists 22 (Review 4), Lists 21 (Review 5), Lists 19 (Review 6), Lists 16 (Review 7), Lists 8 (Review 8), 
04/19/20, Lists 24 (Review 3), Lists 23 (Review 4), Lists 22 (Review 5), Lists 20 (Review 6), Lists 17 (Review 7), Lists 9 (Review 8), 
04/20/20, Lists 25 (Review 3), Lists 24 (Review 4), Lists 23 (Review 5), Lists 21 (Review 6), Lists 18 (Review 7), Lists 10 (Review 8), 
04/21/20, Lists 26 (Review 3), Lists 25 (Review 4), Lists 24 (Review 5), Lists 22 (Review 6), Lists 19 (Review 7), Lists 11 (Review 8), 
04/22/20, Lists 27 (Review 3), Lists 26 (Review 4), Lists 25 (Review 5), Lists 23 (Review 6), Lists 20 (Review 7), Lists 12 (Review 8), 
04/23/20, Lists 28 (Review 3), Lists 27 (Review 4), Lists 26 (Review 5), Lists 24 (Review 6), Lists 21 (Review 7), Lists 13 (Review 8), 
04/24/20, Lists 29 (Review 3), Lists 28 (Review 4), Lists 27 (Review 5), Lists 25 (Review 6), Lists 22 (Review 7), Lists 14 (Review 8), 
04/25/20, Lists 30 (Review 3), Lists 29 (Review 4), Lists 28 (Review 5), Lists 26 (Review 6), Lists 23 (Review 7), Lists 15 (Review 8), 
04/26/20, Lists 31 (Review 3), Lists 30 (Review 4), Lists 29 (Review 5), Lists 27 (Review 6), Lists 24 (Review 7), Lists 16 (Review 8), 
04/27/20, N/A, Lists 31 (Review 4), Lists 30 (Review 5), Lists 28 (Review 6), Lists 25 (Review 7), Lists 17 (Review 8), 
04/28/20, N/A, N/A, Lists 31 (Review 5), Lists 29 (Review 6), Lists 26 (Review 7), Lists 18 (Review 8), 
04/29/20, N/A, N/A, N/A, Lists 30 (Review 6), Lists 27 (Review 7), Lists 19 (Review 8), 
04/30/20, N/A, N/A, N/A, Lists 31 (Review 6), Lists 28 (Review 7), Lists 20 (Review 8), 
05/01/20, N/A, N/A, N/A, N/A, Lists 29 (Review 7), Lists 21 (Review 8), 
05/02/20, N/A, N/A, N/A, N/A, Lists 30 (Review 7), Lists 22 (Review 8), 
05/03/20, N/A, N/A, N/A, N/A, Lists 31 (Review 7), Lists 23 (Review 8), 
05/04/20, N/A, N/A, N/A, N/A, N/A, Lists 24 (Review 8), 
05/05/20, N/A, N/A, N/A, N/A, N/A, Lists 25 (Review 8), 
05/06/20, N/A, N/A, N/A, N/A, N/A, Lists 26 (Review 8), 
05/07/20, N/A, N/A, N/A, N/A, N/A, Lists 27 (Review 8), 
05/08/20, N/A, N/A, N/A, N/A, N/A, Lists 28 (Review 8), 
05/09/20, N/A, N/A, N/A, N/A, N/A, Lists 29 (Review 8), 
05/10/20, N/A, N/A, N/A, N/A, N/A, Lists 30 (Review 8), 
05/11/20, N/A, N/A, N/A, N/A, N/A, Lists 31 (Review 8), 
