Date, Review 1 (three times), Review 2 (4th pass), Review 3 (5th pass), Review 4 (6th pass), Review 5 (7th pass), Review 6 (8th pass), 
05/03/20, Unit 1 (Review 1), N/A, N/A, N/A, N/A, N/A, 
05/04/20, Unit 2 (Review 1), Unit 1 (Review 2), N/A, N/A, N/A, N/A, 
05/05/20, Unit 3 (Review 1), Unit 2 (Review 2), Unit 1 (Review 3), N/A, N/A, N/A, 
05/06/20, Unit 4 (Review 1), Unit 3 (Review 2), Unit 2 (Review 3), N/A, N/A, N/A, 
05/07/20, Unit 5 (Review 1), Unit 4 (Review 2), Unit 3 (Review 3), Unit 1 (Review 4), N/A, N/A, 
05/08/20, Unit 6 (Review 1), Unit 5 (Review 2), Unit 4 (Review 3), Unit 2 (Review 4), N/A, N/A, 
05/09/20, Unit 7 (Review 1), Unit 6 (Review 2), Unit 5 (Review 3), Unit 3 (Review 4), N/A, N/A, 
05/10/20, Unit 8 (Review 1), Unit 7 (Review 2), Unit 6 (Review 3), Unit 4 (Review 4), Unit 1 (Review 5), N/A, 
05/11/20, Unit 9 (Review 1), Unit 8 (Review 2), Unit 7 (Review 3), Unit 5 (Review 4), Unit 2 (Review 5), N/A, 
05/12/20, Unit 10 (Review 1), Unit 9 (Review 2), Unit 8 (Review 3), Unit 6 (Review 4), Unit 3 (Review 5), N/A, 
05/13/20, Unit 11 (Review 1), Unit 10 (Review 2), Unit 9 (Review 3), Unit 7 (Review 4), Unit 4 (Review 5), N/A, 
05/14/20, Unit 12 (Review 1), Unit 11 (Review 2), Unit 10 (Review 3), Unit 8 (Review 4), Unit 5 (Review 5), N/A, 
05/15/20, Unit 13 (Review 1), Unit 12 (Review 2), Unit 11 (Review 3), Unit 9 (Review 4), Unit 6 (Review 5), N/A, 
05/16/20, Unit 14 (Review 1), Unit 13 (Review 2), Unit 12 (Review 3), Unit 10 (Review 4), Unit 7 (Review 5), N/A, 
05/17/20, Unit 15 (Review 1), Unit 14 (Review 2), Unit 13 (Review 3), Unit 11 (Review 4), Unit 8 (Review 5), N/A, 
